frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
27,1.1105626850937809,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,0.05573379601537454,-0.0020289738893666254,0.055770715911911246,0.008207626845382482,1.0000354148887853,1.0000354046281246,-0.00014325518492384575,0.10183732277919402,0.0001432551849238459,1.0000354046281243,-0.11070651374026876
28,1.1516946363935505,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,0.055801329442942915,-0.001866862533290714,0.05583254913863465,0.008080651047389783,1.0000351852432747,1.0000351752976349,-0.00014103892832854288,0.10098782455425359,0.000141038928328543,1.0000351752976346,-0.10901591952818991
29,1.1928265876933202,TRACKED,LK_OPTICAL_FLOW,333,333,1.0,LK_ACCEPTED,0.056970958001670624,-0.001649768416086772,0.056994840042365554,0.008303502351960935,1.00003689657693,1.0000368860751385,-0.00014492880216091696,0.10292969495030829,0.0001449288021609171,1.0000368860751383,-0.11210951786546924
30,1.2339585389930898,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.05852741274577511,-0.003025884132000556,0.05860558008837223,0.00863626260240495,1.0000413497819278,1.000041338421508,-0.00015073744961100266,0.10442479879384388,0.0001507374496110028,1.0000413384215079,-0.1193402942068336
31,1.2750904902928595,TRACKED,LK_OPTICAL_FLOW,330,330,1.0,LK_ACCEPTED,0.06338596309035438,-0.0043758962592619355,0.06353683014570045,0.008982924209327017,1.0000439893582278,1.0000439770674514,-0.00015678849998968,0.11049911991654124,0.00015678849998968013,1.0000439770674512,-0.12582952862924807
32,1.3162224415926291,TRACKED,LK_OPTICAL_FLOW,328,328,1.0,LK_ACCEPTED,0.0632010842341515,-0.003908460099808053,0.063321821741988,0.008890272410503648,1.0000526504304263,1.0000526383917776,-0.00015517269381887052,0.1039954065295343,0.00015517269381887065,1.0000526383917774,-0.1284854121970372
33,1.3573543928923988,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.06165848957925846,-0.003049727880068076,0.061733865724883846,0.008767863002319019,1.0000542731347402,1.0000542614253085,-0.00015303638247045437,0.10038864096755627,0.0001530363824704545,1.0000542614253083,-0.12703849680913595
34,1.3984863441921684,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,0.061299261844055764,-0.004802490260715331,0.06148709958463138,0.008716755044089383,1.0000585927188976,1.000058581145527,-0.00015214498908858637,0.09683692346940347,0.0001521449890885865,1.0000585811455265,-0.13029423313008628
35,1.439618295491938,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,0.06212280857062069,-0.004685978757947851,0.06229929166228074,0.008732556641242674,1.0000566533741826,1.0000566417588364,-0.0001524204995629227,0.09903392270556599,0.0001524204995629228,1.000056641758836,-0.12942314271949168
36,1.4807502467917077,TRACKED,LK_OPTICAL_FLOW,333,333,1.0,LK_ACCEPTED,0.06189438434353178,-0.003807779856799698,0.0620114021830073,0.008831651854258825,1.000056528840263,1.0000565169598052,-0.0001541501160710173,0.09971558578229875,0.00015415011607101741,1.0000565169598048,-0.12959199484850756
37,1.5218821980914774,TRACKED,LK_OPTICAL_FLOW,333,333,1.0,LK_ACCEPTED,0.06180777592089726,-0.0033748179440635795,0.06189984297591893,0.008706968887400792,1.0000561236287722,1.0000561120814018,-0.0001519738032115958,0.09884346936531978,0.0001519738032115959,1.0000561120814013,-0.12757185107216049
38,1.563014149391247,TRACKED,LK_OPTICAL_FLOW,333,333,1.0,LK_ACCEPTED,0.06304838471100993,-0.0033105859235433854,0.06313524209048917,0.008847618801034783,1.0000530873130482,1.0000530753896348,-0.0001544282761727487,0.10320570790755478,0.0001544282761727488,1.0000530753896344,-0.12762086969866213
39,1.6041461006910167,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,0.061968944573322915,-0.002950971230120558,0.062039167650223735,0.008770381952449178,1.0000569212891275,1.0000569095729357,-0.00015308075418786417,0.09902557990464386,0.0001530807541878643,1.000056909572935,-0.1282392489191631
40,1.6452780519907864,TRACKED,LK_OPTICAL_FLOW,336,324,0.9642857142857143,LK_ACCEPTED,0.06154519498034006,-0.023834564921571655,0.06599922355731686,0.006796536001838513,1.000110641750233,1.0001106347138733,-0.00011863505522224882,0.047683804608138494,0.00011863505522224892,1.0001106347138726,-0.15286566292268894
41,1.686410003290556,TRACKED,LK_OPTICAL_FLOW,330,330,1.0,LK_ACCEPTED,0.061545116706611225,-0.02281747060686712,0.06563869556386416,0.007081109997363016,1.0001082362297296,1.0001082285918217,-0.00012360206060842813,0.05160780703271159,0.00012360206060842827,1.0001082285918208,-0.15387251347025824
42,1.7275419545903257,TRACKED,LK_OPTICAL_FLOW,330,330,1.0,LK_ACCEPTED,0.061119096333413836,-0.022945058855952993,0.06528414556778903,0.0070875563261601,1.0001075501662882,1.0001075425144728,-0.00012371449758049837,0.05167484590950309,0.0001237144975804985,1.0001075425144719,-0.15374274425397316
43,1.7686739058900953,TRACKED,LK_OPTICAL_FLOW,330,330,1.0,LK_ACCEPTED,0.06043500062435214,-0.023554479130893924,0.0648629538919803,0.00709189752277307,1.000110460408545,1.0001104527473306,-0.000123790634124115,0.049164746712320885,0.00012379063412411515,1.0001104527473297,-0.15579780368857918
44,1.809805857189865,TRACKED,LK_OPTICAL_FLOW,328,328,1.0,LK_ACCEPTED,0.06028826327781189,-0.02313244770931533,0.06457387107862568,0.006924425774884323,1.0001119630090574,1.0001119557053917,-0.00012086755946816188,0.046653040371933525,0.00012086755946816202,1.0001119557053908,-0.15422642435652384
45,1.8509378084896346,TRACKED,LK_OPTICAL_FLOW,329,329,1.0,LK_ACCEPTED,0.06800200485861296,-0.028695151332499336,0.07380843024198427,0.007881670492770176,1.0001383331769196,1.0001383237140824,-0.00013758012948629156,0.0455132899993737,0.0001375801294862917,1.0001383237140813,-0.18314181696277063
46,1.8920697597894043,TRACKED,LK_OPTICAL_FLOW,329,329,1.0,LK_ACCEPTED,0.06798667017255866,-0.028486406302306477,0.07371338185955359,0.008050745076951945,1.000135596153261,1.0001355862801102,-0.00014053106125698798,0.04866636030536649,0.00014053106125698814,1.0001355862801091,-0.18350769995915484
47,1.933201711089174,TRACKED,LK_OPTICAL_FLOW,330,330,1.0,LK_ACCEPTED,0.06882881269950758,-0.028095523166086878,0.07434220792793297,0.008052165347747203,1.0001324873973538,1.0001324775207499,-0.00014055541612500514,0.051509799159579255,0.00014055541612500527,1.0001324775207485,-0.18164019944539525
48,1.9743336623889436,TRACKED,LK_OPTICAL_FLOW,330,330,1.0,LK_ACCEPTED,0.06894276621426343,-0.027028168756203286,0.074051515309198,0.007862328805536856,1.0001238707488085,1.0001238613324943,-0.0001372405220810355,0.0555469640168383,0.00013724052208103564,1.000123861332493,-0.17431554248469977
49,2.0154656136887135,TRACKED,LK_OPTICAL_FLOW,329,329,1.0,LK_ACCEPTED,0.06893434153994349,-0.02640227401843731,0.07381750142676348,0.007854393613234145,1.0001243320955844,1.0001243226982635,-0.000137102072938105,0.055176809661538664,0.00013710207293810516,1.0001243226982621,-0.1738224958646001
50,2.056597564988483,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.06660792441516605,-0.02576206014947502,0.07141638004016755,0.00721371269345752,1.000121430490402,1.000121422563652,-0.0001259183259286971,0.049338280123591545,0.00012591832592869724,1.000121422563651,-0.16463261929632386
51,2.0977295162882528,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,0.06503926200662136,-0.02596692440198467,0.07003132702772615,0.006975789423413604,1.0001252636906406,1.0001252562781209,-0.00012176574397967422,0.04332280111953864,0.00012176574397967436,1.0001252562781195,-0.1640200140463154
