frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
0,0.0,REFERENCE,REFERENCE,0,0,1.0,REFERENCE,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.04113195129976966,TRACKED,LK_OPTICAL_FLOW,344,344,1.0,LK_ACCEPTED,0.003264242498062231,-0.004025663623508535,0.005182783682134093,0.0008640501525760401,1.000005696518558,1.0000056964048463,-1.5080605970702066e-05,0.006857234262392433,1.5080605970702066e-05,1.0000056964048463,-0.016411525770927027
2,0.08226390259953932,TRACKED,LK_OPTICAL_FLOW,322,322,1.0,LK_ACCEPTED,0.008750589023406974,-0.0034337786483433774,0.009400193831107392,0.0016737376654305622,1.0000044133137562,1.000004412887077,-2.921236199500192e-05,0.019948275051689387,2.921236199500192e-05,1.0000044128870769,-0.02424787612205074
3,0.12339585389930897,TRACKED,LK_OPTICAL_FLOW,321,321,1.0,LK_ACCEPTED,0.008584576541693423,-0.003247997661901536,0.009178477172816352,0.0013746805959887808,1.000004956879075,1.0000049565912486,-2.3992821489905553e-05,0.016928912457702432,2.3992821489905553e-05,1.0000049565912483,-0.020982567214663114
4,0.16452780519907864,TRACKED,LK_OPTICAL_FLOW,324,324,1.0,LK_ACCEPTED,0.009243880137205451,-0.005532397100921571,0.010772963272624059,0.001983609784019047,1.000000917492764,1.0000009168934731,-3.462055356306829e-05,0.025274934024603228,3.462055356306829e-05,1.000000916893473,-0.028129660248304805
5,0.2056597564988483,TRACKED,LK_OPTICAL_FLOW,325,325,1.0,LK_ACCEPTED,0.007814210781248221,-0.004977374511327071,0.009264779930456218,0.001846472504558445,1.0000040241388588,1.0000040236195662,-3.222715443253506e-05,0.02070812838643303,3.222715443253506e-05,1.0000040236195662,-0.027534090739952517
6,0.24679170779861795,TRACKED,LK_OPTICAL_FLOW,324,324,1.0,LK_ACCEPTED,0.007176640468287587,-0.005192797468282606,0.008858290690515034,0.0019142284081738186,1.0000032831770735,1.0000032826189713,-3.3409698041222275e-05,0.021112419386420667,3.3409698041222275e-05,1.0000032826189713,-0.028150661320939192
7,0.28792365909838763,TRACKED,LK_OPTICAL_FLOW,325,314,0.9661538461538461,LK_ACCEPTED,0.04940485532392813,0.0019127837251744495,0.0494418696163238,0.009143219195922177,1.0000414182832202,1.0000414055499196,-0.00015958588802284882,0.09950652962628916,0.00015958588802284882,1.0000414055499196,-0.12009684857081744
8,0.3290556103981573,TRACKED,LK_OPTICAL_FLOW,315,315,1.0,LK_ACCEPTED,0.04968080263779484,0.0017328610038020997,0.04971101445347923,0.008963778766247725,1.0000403928923753,1.0000403806539782,-0.00015645377161828294,0.09893499446856714,0.00015645377161828294,1.0000403806539782,-0.11778026674141245
9,0.37018756169792694,TRACKED,LK_OPTICAL_FLOW,317,317,1.0,LK_ACCEPTED,0.04993255655176654,0.001935502148910473,0.0499700547564619,0.008499853689420862,1.0000331054858718,1.000033094481582,-0.00014835534348717558,0.09996265321312056,0.00014835534348717558,1.000033094481582,-0.10889726884224835
