frame,timestamp_seconds,region_id,region_name,scale_min_temp,scale_max_temp,min_temp,avg_temp,max_temp,median_temp,p95_temp,p99_temp,valid_pixel_count
0,0.0,1,ROI_01,15.6,46.9,15.732908248901367,31.233518600463867,46.900001525878906,31.416135787963867,33.54267501831055,36.20084762573242,124824
0,0.0,2,ROI_02,15.6,46.9,15.732908248901367,34.86585998535156,46.900001525878906,34.340126037597656,41.3842887878418,44.108917236328125,50082
1,0.04113207547169811,1,ROI_01,15.6,46.9,15.732908248901367,31.2535457611084,46.900001525878906,31.416135787963867,33.67558288574219,36.20084762573242,124824
1,0.04113207547169811,2,ROI_02,15.6,46.9,15.732908248901367,34.863250732421875,46.900001525878906,34.340126037597656,41.317832946777344,44.108917236328125,50083
2,0.08226415094339622,1,ROI_01,15.6,46.9,15.732908248901367,31.275964736938477,46.900001525878906,31.482589721679688,33.67558288574219,36.20084762573242,124824
2,0.08226415094339622,2,ROI_02,15.6,46.9,15.732908248901367,34.8565788269043,46.900001525878906,34.340126037597656,41.317832946777344,44.108917236328125,50083
3,0.12339622641509433,1,ROI_01,15.6,46.9,15.732908248901367,31.282041549682617,46.900001525878906,31.68195343017578,33.67558288574219,36.20084762573242,124824
3,0.12339622641509433,2,ROI_02,15.6,46.9,15.732908248901367,34.856746673583984,46.900001525878906,34.6059455871582,41.317832946777344,44.04246139526367,50083
4,0.16452830188679243,1,ROI_01,15.6,46.9,15.732908248901367,31.302846908569336,46.900001525878906,31.68195343017578,33.54267501831055,36.20084762573242,124824
4,0.16452830188679243,2,ROI_02,15.6,46.9,15.732908248901367,34.855403900146484,46.900001525878906,34.6059455871582,41.317832946777344,44.04246139526367,50083
5,0.20566037735849055,1,ROI_01,15.6,46.9,15.732908248901367,31.321672439575195,46.900001525878906,31.68195343017578,33.54267501831055,36.20084762573242,124824
5,0.20566037735849055,2,ROI_02,15.6,46.9,15.732908248901367,34.8568115234375,46.900001525878906,34.6059455871582,41.317832946777344,44.04246139526367,50083
6,0.24679245283018866,1,ROI_01,15.6,46.9,15.732908248901367,31.3304386138916,46.900001525878906,31.68195343017578,33.54267501831055,36.20084762573242,124824
6,0.24679245283018866,2,ROI_02,15.6,46.9,15.732908248901367,34.85799026489258,46.900001525878906,34.6059455871582,41.317832946777344,44.04246139526367,50083
7,0.28792452830188675,1,ROI_01,15.6,46.9,15.732908248901367,31.32381248474121,46.900001525878906,31.814861297607422,33.54267501831055,36.20084762573242,124824
7,0.28792452830188675,2,ROI_02,15.6,46.9,15.732908248901367,34.84748458862305,46.900001525878906,34.6059455871582,41.251380920410156,43.976009368896484,49970
8,0.32905660377358487,1,ROI_01,15.7,46.8,15.832059860229492,31.330934524536133,46.79999923706055,31.81125259399414,33.52802658081055,36.301273345947266,124824
8,0.32905660377358487,2,ROI_02,15.7,46.8,15.832059860229492,34.8390998840332,46.79999923706055,34.58449935913086,41.31953430175781,43.96072006225586,49969
9,0.370188679245283,1,ROI_01,15.7,46.8,15.832059860229492,31.332448959350586,46.79999923706055,31.81125259399414,33.52802658081055,36.301273345947266,124824
9,0.370188679245283,2,ROI_02,15.7,46.8,15.832059860229492,34.84212112426758,46.79999923706055,34.58449935913086,41.31953430175781,43.96072006225586,49970
10,0.4113207547169811,1,ROI_01,15.7,46.8,15.832059860229492,31.325679779052734,46.79999923706055,31.81125259399414,33.52802658081055,36.301273345947266,124824
10,0.4113207547169811,2,ROI_02,15.7,46.8,15.832059860229492,34.84163284301758,46.79999923706055,34.58449935913086,41.31953430175781,43.96072006225586,49970
11,0.4524528301886792,1,ROI_01,15.7,46.8,15.832059860229492,31.307083129882812,46.79999923706055,31.81125259399414,33.52802658081055,36.16921615600586,124824
11,0.4524528301886792,2,ROI_02,15.7,46.8,15.832059860229492,34.84075927734375,46.79999923706055,34.58449935913086,41.18747329711914,43.96072006225586,49970
12,0.4935849056603773,1,ROI_01,15.7,46.8,15.832059860229492,31.303085327148438,46.79999923706055,31.81125259399414,33.52802658081055,36.16921615600586,124824
12,0.4935849056603773,2,ROI_02,15.7,46.8,15.832059860229492,34.841270446777344,46.79999923706055,34.58449935913086,41.18747329711914,43.96072006225586,49970
13,0.5347169811320754,1,ROI_01,15.7,46.8,15.832059860229492,31.290000915527344,46.79999923706055,31.613162994384766,33.52802658081055,36.16921615600586,124824
13,0.5347169811320754,2,ROI_02,15.7,46.8,15.832059860229492,34.841285705566406,46.79999923706055,34.58449935913086,41.18747329711914,43.96072006225586,49970
14,0.5758490566037735,1,ROI_01,15.7,46.8,15.832059860229492,31.285079956054688,46.79999923706055,31.613162994384766,33.52802658081055,36.16921615600586,124824
14,0.5758490566037735,2,ROI_02,15.7,46.8,15.832059860229492,34.840126037597656,46.79999923706055,34.58449935913086,41.18747329711914,43.96072006225586,49970
15,0.6169811320754717,1,ROI_01,15.7,46.8,15.832059860229492,31.290620803833008,46.79999923706055,31.613162994384766,33.52802658081055,36.16921615600586,124824
15,0.6169811320754717,2,ROI_02,15.7,46.8,15.832059860229492,34.83783721923828,46.79999923706055,34.58449935913086,41.18747329711914,43.96072006225586,49970
16,0.6581132075471697,1,ROI_01,15.7,45.9,15.828237533569336,30.835956573486328,45.900001525878906,31.15265464782715,33.01210021972656,35.51273727416992,124824
16,0.6581132075471697,2,ROI_02,15.7,45.9,15.828237533569336,34.26856994628906,45.900001525878906,34.03800582885742,40.449893951416016,43.07876968383789,49970
17,0.6992452830188679,1,ROI_01,15.7,45.9,15.828237533569336,30.835670471191406,45.900001525878906,31.15265464782715,33.01210021972656,35.51273727416992,124824
17,0.6992452830188679,2,ROI_02,15.7,45.9,15.828237533569336,34.269535064697266,45.900001525878906,34.03800582885742,40.449893951416016,43.07876968383789,49970
18,0.740377358490566,1,ROI_01,15.7,45.9,15.828237533569336,30.84442138671875,45.900001525878906,31.15265464782715,33.01210021972656,35.51273727416992,124824
18,0.740377358490566,2,ROI_02,15.7,45.9,15.828237533569336,34.26821517944336,45.900001525878906,34.03800582885742,40.449893951416016,43.07876968383789,49970
19,0.7815094339622641,1,ROI_01,15.7,45.9,15.828237533569336,30.841777801513672,45.900001525878906,31.15265464782715,33.01210021972656,35.51273727416992,124824
19,0.7815094339622641,2,ROI_02,15.7,45.9,15.828237533569336,34.26786804199219,45.900001525878906,34.03800582885742,40.449893951416016,43.07876968383789,49970
