frame,timestamp_seconds,region_id,region_name,scale_min_temp,scale_max_temp,min_temp,avg_temp,max_temp,median_temp,p95_temp,p99_temp,valid_pixel_count
0,0.0,1,ROI_01,15.6,46.9,15.73319149017334,31.19144630432129,42.23829650878906,31.11680793762207,33.51425552368164,34.91276550292969,89513
0,0.0,2,ROI_02,15.6,46.9,16.931915283203125,35.12300491333008,46.900001525878906,34.64638137817383,40.773193359375,43.90319061279297,46090
1,0.04113207547169811,1,ROI_01,15.6,46.9,15.73319149017334,31.19135284423828,41.97191619873047,31.11680793762207,33.51425552368164,34.91276550292969,89513
1,0.04113207547169811,2,ROI_02,15.6,46.9,16.998510360717773,35.121158599853516,46.900001525878906,34.64638137817383,40.773193359375,43.90319061279297,46090
2,0.08226415094339622,1,ROI_01,15.6,46.9,15.73319149017334,31.195064544677734,41.97191619873047,31.11680793762207,33.51425552368164,34.91276550292969,89513
2,0.08226415094339622,2,ROI_02,15.6,46.9,16.998510360717773,35.12099838256836,46.900001525878906,34.64638137817383,40.773193359375,43.83659744262695,46090
3,0.12339622641509433,1,ROI_01,15.6,46.9,15.73319149017334,31.18460464477539,41.97191619873047,31.11680793762207,33.51425552368164,34.91276550292969,89513
3,0.12339622641509433,2,ROI_02,15.6,46.9,16.998510360717773,35.12270736694336,46.900001525878906,34.64638137817383,40.773193359375,43.83659744262695,46090
4,0.16452830188679243,1,ROI_01,15.6,46.9,15.73319149017334,31.18456268310547,41.97191619873047,31.11680793762207,33.51425552368164,34.91276550292969,89513
4,0.16452830188679243,2,ROI_02,15.6,46.9,16.998510360717773,35.121334075927734,46.900001525878906,34.64638137817383,40.773193359375,43.83659744262695,46090
5,0.20566037735849055,1,ROI_01,15.6,46.9,15.73319149017334,31.185291290283203,41.97191619873047,31.11680793762207,33.51425552368164,34.91276550292969,89513
5,0.20566037735849055,2,ROI_02,15.6,46.9,16.998510360717773,35.12276077270508,46.900001525878906,34.64638137817383,40.773193359375,43.83659744262695,46090
6,0.24679245283018866,1,ROI_01,15.6,46.9,15.73319149017334,31.188251495361328,41.97191619873047,31.11680793762207,33.51425552368164,34.91276550292969,89513
6,0.24679245283018866,2,ROI_02,15.6,46.9,16.998510360717773,35.125091552734375,46.900001525878906,34.64638137817383,40.773193359375,43.83659744262695,46090
7,0.28792452830188675,1,ROI_01,15.6,46.9,15.73319149017334,31.185230255126953,42.23829650878906,31.31659507751465,33.51425552368164,34.91276550292969,89513
7,0.28792452830188675,2,ROI_02,15.6,46.9,16.998510360717773,35.12973403930664,46.900001525878906,34.64638137817383,40.773193359375,43.96978759765625,46012
8,0.32905660377358487,1,ROI_01,15.7,46.8,15.832340240478516,31.176170349121094,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
8,0.32905660377358487,2,ROI_02,15.7,46.8,17.089574813842773,35.103912353515625,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
9,0.370188679245283,1,ROI_01,15.7,46.8,15.832340240478516,31.17530059814453,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
9,0.370188679245283,2,ROI_02,15.7,46.8,17.089574813842773,35.104278564453125,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
10,0.4113207547169811,1,ROI_01,15.7,46.8,15.832340240478516,31.173080444335938,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
10,0.4113207547169811,2,ROI_02,15.7,46.8,17.089574813842773,35.10327911376953,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
11,0.4524528301886792,1,ROI_01,15.7,46.8,15.832340240478516,31.1715087890625,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
11,0.4524528301886792,2,ROI_02,15.7,46.8,17.089574813842773,35.10253143310547,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
12,0.4935849056603773,1,ROI_01,15.7,46.8,15.832340240478516,31.169885635375977,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
12,0.4935849056603773,2,ROI_02,15.7,46.8,17.089574813842773,35.10294723510742,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
13,0.5347169811320754,1,ROI_01,15.7,46.8,15.832340240478516,31.169904708862305,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
13,0.5347169811320754,2,ROI_02,15.7,46.8,17.089574813842773,35.10294723510742,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
14,0.5758490566037735,1,ROI_01,15.7,46.8,15.832340240478516,31.169904708862305,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
14,0.5758490566037735,2,ROI_02,15.7,46.8,17.089574813842773,35.10260009765625,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
15,0.6169811320754717,1,ROI_01,15.7,46.8,15.832340240478516,31.169721603393555,42.168087005615234,31.31616973876953,33.499786376953125,34.88936233520508,89513
15,0.6169811320754717,2,ROI_02,15.7,46.8,17.089574813842773,35.10106658935547,46.79999923706055,34.62467956542969,40.71234130859375,43.888511657714844,46012
16,0.6581132075471697,1,ROI_01,15.7,45.9,15.828510284423828,30.719932556152344,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
16,0.6581132075471697,2,ROI_02,15.7,45.9,17.049362182617188,34.53866958618164,45.900001525878906,34.077022552490234,39.98851013183594,43.0727653503418,46012
17,0.6992452830188679,1,ROI_01,15.7,45.9,15.828510284423828,30.714473724365234,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
17,0.6992452830188679,2,ROI_02,15.7,45.9,17.049362182617188,34.53827667236328,45.900001525878906,34.077022552490234,39.98851013183594,43.0727653503418,46012
18,0.740377358490566,1,ROI_01,15.7,45.9,15.828510284423828,30.713088989257812,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
18,0.740377358490566,2,ROI_02,15.7,45.9,17.049362182617188,34.53702926635742,45.900001525878906,34.077022552490234,39.98851013183594,43.0727653503418,46012
19,0.7815094339622641,1,ROI_01,15.7,45.9,15.828510284423828,30.71010398864746,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
19,0.7815094339622641,2,ROI_02,15.7,45.9,17.049362182617188,34.53615188598633,45.900001525878906,34.077022552490234,39.98851013183594,43.00851058959961,46012
20,0.8226415094339622,1,ROI_01,15.7,45.9,15.828510284423828,30.70890235900879,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
20,0.8226415094339622,2,ROI_02,15.7,45.9,17.049362182617188,34.53630065917969,45.900001525878906,34.077022552490234,39.98851013183594,43.00851058959961,46012
21,0.8637735849056604,1,ROI_01,15.7,45.9,15.828510284423828,30.708566665649414,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
21,0.8637735849056604,2,ROI_02,15.7,45.9,17.049362182617188,34.5358772277832,45.900001525878906,34.077022552490234,39.98851013183594,43.00851058959961,46012
22,0.9049056603773584,1,ROI_01,15.7,45.9,15.828510284423828,30.709745407104492,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
22,0.9049056603773584,2,ROI_02,15.7,45.9,17.049362182617188,34.5361328125,45.900001525878906,34.077022552490234,39.98851013183594,43.00851058959961,46013
23,0.9460377358490566,1,ROI_01,15.7,45.9,15.828510284423828,30.70973777770996,41.40212631225586,30.671489715576172,32.98468017578125,34.334041595458984,89513
23,0.9460377358490566,2,ROI_02,15.7,45.9,17.049362182617188,34.53634262084961,45.900001525878906,34.077022552490234,39.98851013183594,43.00851058959961,46013
24,0.9871698113207547,1,ROI_01,15.6,47.2,15.734468460083008,31.308481216430664,42.49361801147461,31.265531539916992,33.68595886230469,35.09787368774414,89513
24,0.9871698113207547,2,ROI_02,15.6,47.2,17.01191520690918,35.30988693237305,47.20000076293945,34.82893753051758,41.014469146728516,44.241703033447266,46013
25,1.0283018867924527,1,ROI_01,15.6,47.2,15.734468460083008,31.31374740600586,42.49361801147461,31.265531539916992,33.68595886230469,35.09787368774414,89513
25,1.0283018867924527,2,ROI_02,15.6,47.2,17.01191520690918,35.309932708740234,47.20000076293945,34.82893753051758,41.014469146728516,44.241703033447266,46013
26,1.0694339622641509,1,ROI_01,15.6,47.2,15.734468460083008,31.348430633544922,42.49361801147461,31.265531539916992,33.68595886230469,35.09787368774414,89513
26,1.0694339622641509,2,ROI_02,15.6,47.2,17.01191520690918,35.30805206298828,47.20000076293945,34.82893753051758,41.014469146728516,44.241703033447266,46013
27,1.110566037735849,1,ROI_01,15.6,47.2,15.734468460083008,31.349395751953125,42.49361801147461,31.467233657836914,33.68595886230469,35.09787368774414,89513
27,1.110566037735849,2,ROI_02,15.6,47.2,17.01191520690918,35.307865142822266,47.20000076293945,34.82893753051758,41.014469146728516,44.241703033447266,46012
28,1.151698113207547,1,ROI_01,15.6,47.2,15.734468460083008,31.345050811767578,42.49361801147461,31.467233657836914,33.68595886230469,35.09787368774414,89513
