frame,timestamp_seconds,state,view_id,view_name,motion_translation_pixels,motion_rotation_deg,motion_scale,motion_inliers,motion_inlier_ratio,edge_change_ratio,moving_evidence,stable_evidence,event
34,1.3984863441921684,STABLE,1,VIEW_001,0.006735442175655595,-0.0008720729084252639,1.0000006085457938,224,1.0,0.0025232508435044966,0,1,
35,1.439618295491938,STABLE,1,VIEW_001,0.0065668740041347606,-0.00028302392255675417,1.0000076616364997,222,1.0,0.002402828614825328,0,1,
36,1.4807502467917077,STABLE,1,VIEW_001,0.006906842287804505,-0.0002782884924207518,1.000002481844423,221,0.9954954954954955,0.006853039453749247,0,1,
37,1.5218821980914774,STABLE,1,VIEW_001,0.0059279279676228746,4.3109482371694715e-05,0.999992152686023,220,0.995475113122172,0.004237340892207194,0,1,
38,1.563014149391247,STABLE,1,VIEW_001,0.002879870793894935,0.0007097051282681773,0.9999951413993754,221,1.0,0.004631627876091503,0,1,
39,1.6041461006910167,STABLE,1,VIEW_001,0.00842818215595142,-0.0018773992939806995,1.0000085838437751,217,1.0,0.0021166041369235365,0,1,
40,1.6452780519907864,STABLE,1,VIEW_001,0.03671080361857726,0.001666747459315147,1.0001031455134455,219,0.9954545454545455,0.0023249538123014967,0,1,
41,1.686410003290556,STABLE,1,VIEW_001,0.009429243624609686,0.0012704426517974067,0.9999792137327015,220,1.0,0.005432527100383473,0,1,
42,1.7275419545903257,STABLE,1,VIEW_001,0.008667122498178333,-0.0016887052126690688,1.0000067417590544,216,1.0,0.0034775535949936507,0,1,
43,1.7686739058900953,STABLE,1,VIEW_001,0.0014355588846947384,-0.00079408995585327,1.0000177421378045,218,1.0,0.0032991111074223774,0,1,
44,1.809805857189865,STABLE,1,VIEW_001,0.0031955388341967155,-0.000573095273867435,1.00000769042203,219,0.9954545454545455,0.0026433509556730377,0,1,
45,1.8509378084896346,STABLE,1,VIEW_001,0.008778838705036972,0.000527263817003699,1.0000227549353213,218,0.9954337899543378,0.003328546645306417,0,1,
46,1.8920697597894043,STABLE,1,VIEW_001,0.004347429293418307,0.0007699550172931538,0.9999836199816423,215,0.9953703703703703,0.0024816779130665736,0,1,
47,1.933201711089174,STABLE,1,VIEW_001,0.005143670309898301,-0.00019178539349954968,0.999986723625113,219,0.9954545454545455,0.0033117804762655733,0,1,
48,1.9743336623889436,STABLE,1,VIEW_001,0.007237891430720926,-0.0003962651345182584,1.0000164384024393,221,0.9954954954954955,0.0070655535583074225,0,1,
