frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
64,2.5932345376607473,1,29.2,749.0,29.20,7490,29.2,74.9,29.20,749,green_difference/PSM7,green_channel_otsu/PSM7,29.2,74.9,ACCEPT_RETRY,1
65,2.6337538273116965,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
66,2.6742731169626457,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
67,2.714792406613595,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
68,2.755311696264544,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
69,2.7958309859154933,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
70,2.8363502755664425,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
71,2.8768695652173912,0,,,,,,,,,,,29.2,74.9,UNSAMPLED,0
72,2.9173888548683404,1,29.2,74.8,29.20,748,29.2,74.8,29.20,748,green_difference/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_PRIMARY,0
73,2.9579081445192896,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
74,2.998427434170239,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
75,3.038946723821188,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
76,3.079466013472137,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
77,3.1199853031230864,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
78,3.1605045927740356,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
79,3.201023882424985,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
80,3.241543172075934,1,29.2,74.8,29.20,748,29.2,74.8,29.20,748,green_difference/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_PRIMARY,0
81,3.282062461726883,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
82,3.3225817513778324,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
83,3.3631010410287816,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
84,3.403620330679731,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
85,3.44413962033068,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
