frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
33,1.3371150729335495,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.0028110516684591857,-0.01093668265764336,0.011292167154126979,0.00035235470673295545,1.0000254524876553,1.000025452468745,-6.149906293780382e-06,-0.01614867664432638,6.1499062937803774e-06,1.0000254524687444,-0.027089807683029012
34,1.3776337115072934,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.0028004067621623108,-0.01096872912495428,0.01132056962569396,0.00035623127402441084,1.0000254967949511,1.0000254967756226,-6.2175671542530406e-06,-0.016133910926577594,6.217567154253036e-06,1.000025496775622,-0.02718642440218911
35,1.4181523500810373,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.002783874727128932,-0.010963367187287076,0.011311294292857477,0.000359557311371332,1.00002546359207,1.0000254635723789,-6.275618728733329e-06,-0.016068264059828117,6.2756187287333246e-06,1.0000254635723782,-0.02720227791522245
36,1.4586709886547813,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.0027771876380029425,-0.010054894904556022,0.010431379713074538,0.0001690031566942002,1.000021784815815,1.0000217848114648,-2.9497257884065786e-06,-0.01530359859705795,2.9497257884065723e-06,1.0000217848114643,-0.02239942891203055
37,1.4991896272285252,TRACKED,LK_OPTICAL_FLOW,336,336,1.0,LK_ACCEPTED,-0.001750588770619288,-0.012619509539661067,0.012740352509464368,0.0006767122455753463,1.000028129053165,1.0000281289834148,-1.1811189001797737e-05,-0.014083767435178047,1.1811189001797734e-05,1.0000281289834143,-0.033680582539644684
38,1.5397082658022692,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.0025979128444078015,-0.011134682606893875,0.011433735518342376,0.00026628551636526056,1.0000242800542556,1.0000242800434553,-4.647671853915256e-06,-0.01590625816591003,4.64767185391525e-06,1.000024280043455,-0.02576361345178267
39,1.5802269043760129,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.002645735313194564,-0.010977193606493074,0.011291531996231386,0.00024560389567164693,1.0000241372022476,1.0000241371930598,-4.286700101631704e-06,-0.016035922822685674,4.286700101631698e-06,1.0000241371930596,-0.025306534340115455
40,1.6207455429497568,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0025695226421476036,-0.011261654212376015,0.011551073638741798,0.0002704313021217166,1.0000243706442804,1.0000243706331413,-4.720031649871002e-06,-0.01590111266068447,4.720031649870996e-06,1.0000243706331409,-0.025980378375887753
41,1.6612641815235007,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.0026286812976650253,-0.011115598524099823,0.01142219313064107,0.00025307807800773195,1.0000242793529752,1.00002427934322,-4.417152968851902e-06,-0.016047227533386273,4.417152968851896e-06,1.0000242793432195,-0.025596661169519877
42,1.7017828200972447,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0024876427286244507,-0.011359856249612221,0.011629045547985955,0.0002848896282468584,1.0000243537762579,1.0000243537638958,-4.97238311102651e-06,-0.01568730772859562,4.972383111026504e-06,1.0000243537638953,-0.026231988110430874
43,1.7423014586709886,TRACKED,LK_OPTICAL_FLOW,334,334,1.0,LK_ACCEPTED,-0.002543334924098417,-0.011181889972647241,0.011467485160074445,0.00026707275602965287,1.000024207027968,1.0000242070171037,-4.661411771269794e-06,-0.015798348220310825,4.661411771269789e-06,1.0000242070171033,-0.025784561715781255
44,1.7828200972447326,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.00254817819075015,-0.01117241302608818,0.011459320438722338,0.0002654766569744416,1.0000242047064012,1.0000242046956667,-4.633553902472221e-06,-0.015815077544148754,4.633553902472215e-06,1.0000242046956662,-0.025756141443425903
45,1.8233387358184765,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0025403086955293475,-0.010837651228598588,0.011131390408270051,0.000292399538892383,1.0000234476972643,1.000023447684242,-5.103454346409882e-06,-0.015097168524119992,5.103454346409877e-06,1.0000234476842418,-0.02535875044634501
46,1.8638573743922204,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002547701903381494,-0.010840593161049128,0.011135943833904642,0.000291488483639886,1.0000234610186165,1.000023461005675,-5.08755312751811e-06,-0.015120720034224735,5.087553127518105e-06,1.0000234610056749,-0.025357909886556357
47,1.9043760129659644,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.002554328490646185,-0.01083659498817724,0.011133570181029753,0.0002918867673027316,1.000023479583614,1.0000234795706373,-5.094504746454842e-06,-0.015135891420231617,5.094504746454837e-06,1.0000234795706369,-0.025367271931605893
48,1.9448946515397083,TRACKED,LK_OPTICAL_FLOW,335,335,1.0,LK_ACCEPTED,-0.0026722152488218853,-0.010211451367069913,0.010555305460197265,0.00013288195967857253,1.0000224823440373,1.000022482341348,-2.3192798545667052e-06,-0.01594765938132384,2.3192798545666997e-06,1.0000224823413475,-0.022487314320813606
49,1.9854132901134522,TRACKED,LK_OPTICAL_FLOW,337,337,1.0,LK_ACCEPTED,-0.0017409693678018812,-0.013174497020031595,0.013289031043324635,0.0006608720774796858,1.0000292680714782,1.0000292680049552,-1.1534731275718696e-05,-0.014935821526862984,1.1534731275718694e-05,1.0000292680049547,-0.034605367414758864
50,2.025931928687196,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,-0.0008198253181035398,-0.010223369989660114,0.01025618874132524,0.0005923902906845678,1.0000172947241988,1.0000172946707486,-1.033933984204624e-05,-0.006925531472986659,1.0339339842046238e-05,1.0000172946707482,-0.025141989447724934
51,2.06645056726094,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,-0.0004905186691530616,-0.010920640261815606,0.010931650940858646,0.0007348264423575833,1.0000198890689773,1.0000198889867336,-1.2825395929615563e-05,-0.007063280132467609,1.2825395929615562e-05,1.000019888986733,-0.028675607288695417
52,2.106969205834684,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,-0.0004531065628725628,-0.010214393447085968,0.010224438324386869,0.0007619459560846158,1.0000188490676463,1.0000188489792199,-1.329871631921943e-05,-0.006133069430361756,1.3298716319219429e-05,1.0000188489792192,-0.027773081916555312
53,2.147487844408428,TRACKED,LK_OPTICAL_FLOW,332,332,1.0,LK_ACCEPTED,0.0001948147282746504,-0.010991614911574743,0.010993341218333258,0.000715855833429763,1.0000193544680906,1.0000193543900386,-1.2494283078155342e-05,-0.006194739019004976,1.249428307815534e-05,1.0000193543900378,-0.028278063299770666
54,2.1880064829821717,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.00015014466487173195,-0.010657805143125643,0.010658862692108612,0.0007372866533761602,1.0000194389077162,1.0000194388249208,-1.2868329773481484e-05,-0.006113904993190993,1.2868329773481483e-05,1.00001943882492,-0.028224172159733295
55,2.228525121555916,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.00019735689147637459,-0.010665342110712572,0.010667167950358339,0.0007420760743457683,1.000019234092049,1.0000192340081746,-1.295191991087409e-05,-0.005895486783006731,1.2951919910874089e-05,1.0000192340081737,-0.028186894777039555
56,2.2690437601296596,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.00012970201646567148,-0.01075757149232004,0.010758353360317371,0.0007344109894233172,1.0000192954254252,1.0000192953432745,-1.281813715455243e-05,-0.006066611844931574,1.2818137154552426e-05,1.0000192953432736,-0.02822294404257944
